id,prediction,target,bleu-1,bleu-4,url
1,"A man is a dog standing a woman animal","a woman and her baby and a stuffed bear",0.451801001805,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000285534.jpg
1,"A man of people standing around a table with","A group of people sitting at a table .",0.610473583581,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000189475.jpg
1,"A men dogs are standing in the field pool field .","Two large dogs are playing in a large grassy area .",0.436683544285,0.0,data/datasets/Flickr8k/Flickr8k_Dataset/1926129518_4350f4f552.jpg
1,"A man is to picture control in a laptop screen . .","A person points a remote control at a #START# television set .",0.759835685652,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000047137.jpg
1,"A man of sheep standing in to a other on a .","A herd of giraffe standing next to each other near rocks .",0.840896415254,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000553034.jpg
1,"A image and white cat laying sitting on a bed couch","an orange and white cat is climbing on a black pot",0.350843969564,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000301107.jpg
1,"A image is with a in a zoo board . a head","an elephant playing with water at a watering hole with his trunk",0.638943104246,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000549907.jpg
1,"A men are a table party on . to .","Two people at a fast food restaurant preparing food .",0.668740304976,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000215787.jpg
1,"A man is a horse and standing on a bed .","A person petting a black cat laying on a keyboard .",0.461736630944,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000227709.jpg
1,"A man in on a bench holding a pizza . holding dogs . .","A woman sitting on a sofa cuts a cake while two others watch .",0.407122077555,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000550707.jpg
1,"A man in holding with on a hill on a","a man is snow boarding down a hill at night",0.459149769332,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000549683.jpg
1,"A man is a bathroom on a bed .","A cat in a suitcase on a bed .",0.330316431801,0.166666666667,data/datasets/mscoco/val2014/COCO_val2014_000000067307.jpg
1,"A men are sitting at a window of .","Two women are looking into a glass case .",0.759835685652,0.0,data/datasets/Flickr8k/Flickr8k_Dataset/2466420387_86fe77c966.jpg
1,"A and and and and white with on on a table table","Broccoli , carrot , and dome other items on a dish .",0.388272677752,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000321395.jpg
1,"A man in a book guitar a man of people .","A man reads a story to a group of children .",0.483269783091,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000283785.jpg
1,"A man child of people standing around a lush . trees trees . trees","a small group of giraffes walking across a field with dried grass and trees",0.680374933317,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000235252.jpg
2,"A is is playing to hit the ball the . a .","This girl is ready to brave the cold weather for snowboarding .",0.759835685652,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000493279.jpg
3,"A man with a food and a plate .","A sandwich and some fries on a plate .",0.375311926875,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000463583.jpg
4,"A man with on top of a table with a table . .","A pizza sitting on top of a pan on a stove top .",0.222424693979,0.1,data/datasets/mscoco/val2014/COCO_val2014_000000428992.jpg
5,"A people sitting a laptop computer sitting on on a desk .","Two laptops and a desktop are lined up on a desk .",0.224169335019,0.111111111111,data/datasets/mscoco/val2014/COCO_val2014_000000188631.jpg
6,"A man with with a variety on ready to be the picture ball","a magazine cover showing a man getting ready to kick a soccer ball",0.423117854161,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000207545.jpg
7,"A man man is a helmet is standing on a window . a street .","A dark-haired man with a mustache is sitting by a curb near busy traffic .",0.795270728767,0.0,data/datasets/Flickr30k/flickr30k-images/4464336890.jpg
8,"A and white photo of a on in a .","Black and white photograph of clock tower with windows .",0.459149769332,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000507684.jpg
9,"A man bench with a bunch on the background","A wooden bench with a carving in the woods",0.375311926875,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000182401.jpg
10,"A man and white dog is on top bench .","A brown and black dog laying on a bed .",0.840896415254,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000164983.jpg
11,"A man phone sitting on to a wooden . a window .","A cell phone sitting next to a lighter near a keyboard .",0.570674577706,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000319228.jpg
12,"A man of a person on a and","a statue of a person drinking toilet water",0.392814650901,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000381134.jpg
13,"A man with a bathroom room with the . a .","A room in a residential house for relaxing and fun .",0.776545355504,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000293334.jpg
14,"A people girls are in a bathroom bowl .","Four small broccoli plants in a brown planter .",0.451801001805,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000051339.jpg
15,"A man with with with a with vegetables . .","A kitchen table covered in plates and food containers .",0.668740304976,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000531798.jpg
16,"A close of people are in a of a building tower","a group of people standing in front of a clock tower",0.597288066184,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000372914.jpg
17,"A man meter with a people in a soccer . a","A parking lot with 2 men kicking a ball around .",0.776545355504,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000157593.jpg
18,"A man tower with a building with a middle","A clock tower beside a building in the sun",0.485491771707,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000473196.jpg
19,"A in with a hands to a ball","dogs playing with their owner by a pond",0.707106781187,0.0,data/datasets/Flickr8k/Flickr8k_Dataset/3576060775_d9121519cc.jpg
20,"A man is a of a in on in","A person takes photos of sheep laying down .",0.686589047969,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000139512.jpg
21,"A man on a blue suit a a a a camera phone .","a person in a foyer holding and looking at a cellular phone .",0.423117854161,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000490529.jpg
22,"A man is on a field holding","A kid standing in a sprinkler .",0.731110445709,0.0,data/datasets/Flickr8k/Flickr8k_Dataset/2718027742_70a72f99ae.jpg
23,"A man on on a large in . night .","a person skateboarding near a skateboarding park at sunset .",0.668740304976,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000500270.jpg
24,"A man with a lot and on on the of a building .","A wagon with a pink umbrella sitting in front of a store .",0.526640387848,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000301724.jpg
25,"A man is a skateboard on a skateboard pipe .","A teenager riding a skateboard on a half pipe .",0.324667915475,0.142857142857,data/datasets/mscoco/val2014/COCO_val2014_000000197280.jpg
26,"A man is a skateboard down the . .","A person riding his skateboard on cement steps .",0.759835685652,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000308026.jpg
27,"A man in a skateboard with a tennis . a baseball .","A woman on a court swinging a racket at a ball .",0.803428418945,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000215906.jpg
28,"A man of people people are to a . . a . .","A group of college students gathers to play texas hold #START# poker .",0.744781978988,0.0,data/datasets/Flickr30k/flickr30k-images/36979.jpg
29,"A man of people and on a","A line of rollerbladers crouch down #START#",0.731110445709,0.0,data/datasets/Flickr8k/Flickr8k_Dataset/3500136982_bf7a85531e.jpg
30,"A man and hydrant is in the of a building building .","A red fire hydrant looms in front of a tall building .",0.570674577706,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000318224.jpg
31,"A man in a blue shirt is holding shirt and playing a tennis and .","a man in a white shirt , striped tie is holding a black umbrella .",0.306204908824,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000328409.jpg
32,"A people on a on on on a kitchen .","Different platters of food are set in the kitchen .",0.386097395096,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000419653.jpg
1,"A man in a hat and and front of a crowd .","A woman with a guitar smiles in front of a microphone .",0.320913898279,0.0,data/datasets/Flickr8k/Flickr8k_Dataset/3628059004_5c3529b120.jpg
3,"A man is a a skateboard horse white horse .","A woman riding on a white and brown house .",0.795270728767,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000279256.jpg
5,"A man is is running the the train . down the the race .","The landing gear is down as the airliner comes in for a landing .",0.731110445709,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000109206.jpg
7,"A man is the side is in in in","The door on the train is standing open .",0.686589047969,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000069842.jpg
9,"A people are playing a on a table","Two men are making pizza on a table",0.392814650901,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000261705.jpg
11,"A man computer a food of a table .","A laptop and some boxes on a table .",0.354948105601,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000093852.jpg
13,"A man is parked to take a a train . traffic building . people .","A taxi is trying to drive on a street amidst a crowd of people .",0.427287006396,0.0,data/datasets/Flickr30k/flickr30k-images/4622921215.jpg
15,"A people of a of a and and a and and and other .","Three pictures of plates with salads , including beans , fish and vegetables .",0.680374933317,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000562197.jpg
17,"A man #START# a are in a their .","A #START# of girls stand around with umbrellas .",0.759835685652,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000403995.jpg
19,"A people are standing grass in a enclosure field .","Many sheep are eating hay in an open field .",0.459149769332,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000187411.jpg
21,"A people girls are a field field . a and","Two young children on a baseball field with gloves .",0.740082804492,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000493923.jpg
23,"A people are standing at a camera in a building . one men .","Three people are looking at the ground near a table and several chairs .",0.407122077555,0.0,data/datasets/Flickr30k/flickr30k-images/179686689.jpg
25,"A man is a with a woman watches a her camera .","A man watches TV while a woman tends to the kitchen .",0.549100486776,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000328462.jpg
27,"A man is playing a cell on a window .","The woman is holding her cat by the door .",0.668740304976,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000226376.jpg
29,"A man of people standing in a the open field .","A group of cows standing around in an open field .",0.344844425795,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000532145.jpg
31,"A man player is a bat bat on a game game .","A baseball player holding a baseball bat during a baseball game .",0.479878206669,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000073749.jpg
33,"A giraffes standing in a other in trees a directions","two giraffes standing beside each other but in opposite #START#",0.459149769332,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000267088.jpg
35,"A is a people and white cows are to each and","There are three brown and white cows next to white chairs",0.317023313852,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000372428.jpg
37,"A man is a red shirt is holding on a bench .","A child in a red jacket , sitting atop a slide .",0.441162935932,0.0,data/datasets/Flickr30k/flickr30k-images/549520317.jpg
39,"A man and groom are up wedding cake . they . on .","A bride and groom cut their wedding cake as others look on .",0.605722455298,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000350679.jpg
41,"A man in a tennis and to the air . catch a tennis","a man with a racket leaps in the air to hit a ball",0.460249537136,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000247808.jpg
43,"A man group with a chairs of chairs .","A large room with many stacks of suitcases .",0.816496580928,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000289712.jpg
45,"A man sign is is `` on on a . .","A street sign that reads wonder stump and #START# street sign",0.652994205726,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000062805.jpg
47,"A man in on a chair with a remote .","A man standing in a room with a window .",0.628016973396,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000529270.jpg
49,"A people men are a a on . street of building .","Four young ladies outside touring bus advertising the 1 second film .",0.537284965912,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000129571.jpg
51,"A people men are playing a on","Three young children are playing soccer .",0.467137977728,0.0,data/datasets/Flickr30k/flickr30k-images/33064820.jpg
53,"A man with a sink sink and a floor . a","A sink with a round mirror on the wall above it",0.436683544285,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000271206.jpg
55,"A man in holding on a dog on to a woman horse","a man is standing with his daughter next to a blue surfboard",0.417226144861,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000059744.jpg
57,"A man bear is on to a red bench . .","A brown speaker sitting next to a white book shelf .",0.436683544285,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000056036.jpg
59,"A man and is a dog is a is on a bench bench .","A black woman watching her baby as it lays on a red blanket .",0.385032288688,0.0,data/datasets/Flickr30k/flickr30k-images/4775132222.jpg
61,"A man man is a skateboard down a of a skateboard ramp .","A young man riding a skateboard on top of a cement block .",0.547332024239,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000263068.jpg
63,"A man and with on in a window . a . it .","A blue refrigerator sitting up against a shelf with bottles of wine .",0.744781978988,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000533589.jpg
1,"A men are at a camera in a woman in at .","Two women looking at the camera and a man looking away .",0.759835685652,0.0,data/datasets/Flickr30k/flickr30k-images/3017220118.jpg
4,"A people are a in one is in one ocean people on . . .","Two people on surfboards , one standing and the other lying down to paddle .",0.371501159983,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000488377.jpg
7,"A man is a blue is a skateboard","a man in a helmet jumps a snowboard",0.782542290037,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000016744.jpg
10,"A man man is a meal of pizza . a restaurant .","A smiling woman eats a plate of #START# at a restaurant .",0.308781895396,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000155465.jpg
13,"A man hydrant on a of a building covered on . .","A fire hydrant in front of a graffitti written brick wall .",0.441162935932,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000240800.jpg
16,"A dog white dog standing a field field . a .","Brown and black cows in a grassy field by trees .",0.722656881146,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000489391.jpg
19,"A close and white train is a red on the station station","a red and white train and a clock at a train station",0.341723340766,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000010793.jpg
22,"A people are on a bench , .","two people working on a coast guard boat",0.481097729098,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000092658.jpg
25,"A man is is sitting on a runway .","A airplane that is outside on a terminal .",0.51334504804,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000299649.jpg
28,"A man is a skateboard with a umbrella in","A child on a blanket with an apple .",0.759835685652,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000188592.jpg
31,"A man is a ball ball in a field .","A dog chasing a red frisbee across a field .",0.343294523985,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000404297.jpg
34,"A man with with lots lights by a street building sky .","A road filled with traffic led by a big blue bus .",0.441162935932,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000160031.jpg
37,"A man man is standing on holding a on .","A young man is working and mixing something together .",0.459149769332,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000488823.jpg
40,"A man men signs are parked the the side of the building building .","The two stop signs are extending from the side of a school bus .",0.301304048928,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000014880.jpg
43,"A old and a baseball in is ball . a hit the","An umpire catches a ball that the batter does n't hit .",0.803428418945,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000403150.jpg
46,"A pizza pizza pizza is sitting the plate . the oven . of pizza .","The personal sized pizza is on a table in the restaurant full of people .",0.392814650901,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000389109.jpg
49,"A people are playing on . a street .","Three children are riding tricycles on the path .",0.759835685652,0.0,data/datasets/Flickr8k/Flickr8k_Dataset/2291511815_ac083fddbd.jpg
52,"A man with a stove stove and to a microwave sink","a kitchen with a granite table next to a steel fridge",0.519307177868,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000048905.jpg
55,"A men dogs are a next to each building .","Two white trains on tracks next to a station .",0.459149769332,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000234660.jpg
58,"A man is running through a beach with .","A dog is running on the beach sand .",0.51334504804,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000355905.jpg
61,"A people are a a group in to a horse","Three people attending to a kid next to a train",0.459149769332,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000235644.jpg
64,"A are a baseball in a trick trick . a event .","Spectators watching a skateboarder doing an aerial feat at outdoor show .",0.638943104246,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000569437.jpg
67,"A man bathroom is on a kitchen kitchen with to a laptop","a small child resting in a large bed next to a window",0.388272677752,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000179045.jpg
70,"A man is to teeth on in hit man . with food .","A child reaching their hand up to a box filled with apples .",0.744781978988,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000359833.jpg
73,"A clock Ben clock tower towering over the side of London .","The Big Ben clock tower towering over the city of London .",0.531072534979,0.333333333333,data/datasets/mscoco/val2014/COCO_val2014_000000261178.jpg
76,"A and white photo is on a in a area .","Black and white bear resting near vegetation in enclosed area .",0.549100486776,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000350794.jpg
79,"A man is is standing a the air . holding tennis .","A man who is jumping in the air while playing tennis .",0.631555237179,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000434700.jpg
82,"A man man is a sandwich cake to a hand .","A young woman putting a peeled banana into her mouth .",0.722656881146,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000526940.jpg
85,"A man is with a a variety and a side","a hawk #START# hold of a fish by the ocean",0.668740304976,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000284535.jpg
88,"A are a man bathroom with a cabinets and","There is a small restaurant with metal kitchen appliances",0.686589047969,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000211882.jpg
91,"A is a small of a on the train station .","This is a picture of train at a train station .",0.381633091137,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000537589.jpg
94,"A man is a plate controller and a of a mirror .","A hand holding a water bottle in front of a cat .",0.441162935932,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000460841.jpg
1,"A man of people are riding a field boat . the water .","A group of people are in a large raft on choppy water .",0.332602495056,0.0,data/datasets/Flickr8k/Flickr8k_Dataset/3207264553_8cd4dcde53.jpg
5,"A old man is in a building building building . .","An older man stands outside a old boarded up building .",0.461736630944,0.0,data/datasets/Flickr8k/Flickr8k_Dataset/2624457062_89efc497a8.jpg
9,"A man is a a back of a motorcycle motorcycle .","A woman riding on the back of a red motorcycle .",0.367205626989,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000052161.jpg
13,"A men are a blue market with food .","Two workers in a wood shop cutting wood .",0.686589047969,0.0,data/datasets/Flickr30k/flickr30k-images/2441817905.jpg
17,"A people food and are sitting a of a table .","Some fried chicken that is on top of a cake .",0.406379828201,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000362831.jpg
21,"A man in a trick on a skateboard . . the arena","A man performs a trick on a running horse in an enclosure",0.262025100717,0.111111111111,data/datasets/mscoco/val2014/COCO_val2014_000000354657.jpg
25,"A man of food and on to a glass glass . food .","The bowl of cereal is next to a smaller bowl of fruit .",0.400160160192,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000022461.jpg
29,"A old man is on to a to catch a tennis game .","An overweight man leans back in order to play a video game .",0.423117854161,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000230982.jpg
33,"A man of a bathroom room with with with furniture . a . .","A view of a living room area decorated with tiles and wood flooring .",0.426108272392,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000033052.jpg
37,"A giraffe is on a grass white grass . to a window bear .","A baby lies on blue and green bedding next to a teddy bear .",0.50673098929,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000012448.jpg
41,"A man is a carriage in a in a lot . . it background .","A horse pulling a cart with luggage and a truck nearby in a city street",0.392814650901,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000200739.jpg
45,"A people are standing a park with with day .","Four teenagers are in a church playing their instruments .",0.740082804492,0.0,data/datasets/Flickr30k/flickr30k-images/2745520849.jpg
49,"A with with a , of with a table . .","Kitchen area with counter top space and dining room table .",0.406379828201,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000298396.jpg
53,"A men are playing a the pool of water . a camera . . .","Two children are playing in a pile of hay with the sun shining overhead .",0.411133616901,0.0,data/datasets/Flickr30k/flickr30k-images/1563731247.jpg
57,"A man standing a grass with a fence","a giraffe on dirt ground near a feeder",0.707106781187,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000384420.jpg
61,"A man man is a baby kite in his blue . .","The young girl holds a colorful donut in a convenience store .",0.707106781187,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000139856.jpg
65,"A man of people are a game game","a group of guys playing a soccer game",0.782542290037,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000300848.jpg
69,"A man in a blue shirt is a frisbee . a a .","A man in a blue shirt catches a Frisbee thrown to him .",0.408960147204,0.3,data/datasets/mscoco/val2014/COCO_val2014_000000153520.jpg
73,"A man of people are a table with a kites","A bunch of people at a park flying big kites",0.485491771707,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000309579.jpg
77,"A man is is got to bat at another . .","A player that just swung a bat while playing baseball .",0.722656881146,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000503293.jpg
81,"A man and is a next to a building . .","A red train on tracks next to a station platform .",0.317023313852,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000520918.jpg
85,"A giraffe of food and broccoli a banana . it . a . . .","A bowl of cream wheat with a spoon in it and cinnamon on top .",0.795270728767,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000155732.jpg
89,"A man in a tennis and is in a ground","a man with a black dog seated on the waters",0.740082804492,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000097580.jpg
93,"A man with a toilet and a sink sink . .","A bathroom with a toilet and a striped shower curtain .",0.381633091137,0.25,data/datasets/mscoco/val2014/COCO_val2014_000000126671.jpg
97,"A of in the field at a city . a game .","#START# umbrellas in a line on a beach during a sunset .",0.759835685652,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000319768.jpg
101,"A man sign is a clock stop to . the middle .","A stop sign and a no access sign in the grass .",0.840896415254,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000553678.jpg
105,"A man is skis down back a snow covered slope .","A person riding ski 's down a snow covered hill .",0.331807740284,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000478212.jpg
109,"A are standing in a field field green trees a trees trees .","Zebras are socializing in a pattern of three by three by one .",0.400160160192,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000544071.jpg
113,"A man man is on front snow of a snow holding .","A young person standing in the middle of a half pipe .",0.417226144861,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000305423.jpg
117,"A men of food fries and and , and , and a .","Two plates of french toast , eggs , bacon , and toast .",0.423117854161,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000140043.jpg
121,"A people are on a on a beach","few guys hanging out together on the sidewalk",0.594603557501,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000164250.jpg
125,"A man is on a kitchen room with with video game .","A lady standing in a living room playing a video game .",0.308781895396,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000496718.jpg
1,"A people are on a bed with a remote blanket .","Two dogs laying on a bed with a red comforter .",0.367205626989,0.25,data/datasets/mscoco/val2014/COCO_val2014_000000529256.jpg
6,"A man is on in a edge . the with .","A kid stands right at the net when playing tennis .",0.722656881146,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000339120.jpg
11,"A men are with a in standing looks the nap toothbrush","Two dog play with ball while one makes a big jump",0.652994205726,0.0,data/datasets/Flickr8k/Flickr8k_Dataset/3696246123_99d4d10140.jpg
16,"A man is a pizza on of man in phone .","One man cutting the cast off another man 's arm .",0.722656881146,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000091318.jpg
21,"A man is parked down the track track .","A train is traveling on a railway bridge .",0.759835685652,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000031601.jpg
26,"A man sign with the city with of traffic the","a street corner in a town all bright from lights",0.0,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000133087.jpg
31,"A giraffes standing in a in a field . .","Two zebras grazing for food in a forest area .",0.427287006396,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000155355.jpg
36,"A man is a a skateboard on the skate . .","A kid jumping off his skateboard at a skateboard park .",0.436683544285,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000041574.jpg
41,"A man of people standing around a of a bench . a table .","A group of people sitting on top of a couch near a window .",0.526640387848,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000394677.jpg
46,"A is a at a and on the . him","boy swinging bat with catcher kneeling on ground behind him",0.668740304976,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000049740.jpg
51,"A man girl is playing on front field . . a bat . .","A little boy is standing in a cricket cage holding a cricket bat .",0.407122077555,0.0,data/datasets/Flickr30k/flickr30k-images/4850734257.jpg
56,"A man with a cup on to a fries and .","a pizza and a pizza cutter and some green pepper toppings",0.722656881146,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000556932.jpg
61,"A old is held is a small screen .","An apple being peeled by a sharp knife .",0.686589047969,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000563153.jpg
66,"A man with a , and and and cheese . a .","A pizza with cheese , lunch meat and tomatoes as toppings .",0.840896415254,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000226874.jpg
71,"A plate with a different and of with food . it . it .","A table with two square plates covered with food on top of it .",0.526640387848,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000331475.jpg
